hash,path1,split1,dataset1,path2,split2,dataset2,category
a05e573ae6c4a28b077b8c9d01249be849f4f8e1790b2625b42c6bc01098f718,data/PlantVillage/Tomato___Late_blight/d6e6897a-5083-4914-9903-804c5684a956___GHLB2 Leaf 102.JPG,train,PlantVillage,data/PlantVillage/Tomato___Late_blight/d81682aa-746b-4e07-af2b-52ebb6f4c017___GHLB2 Leaf 102.JPG,unknown,PlantVillage,Other
07b9b0a3395d6643e0033f5327c188305479c20a67b9e0081efec85139d63306,data/PlantDoc/test/Blueberry leaf/blueberry-leaves-normal-above-and-iron-deficient-below-bgahf8.jpg,unknown,PlantDoc,data/PlantDoc/train/Blueberry leaf/blueberry-leaves-normal-above-and-iron-deficient-below-bgahf8.jpg,train,PlantDoc,Other
ee3838e2249e671b7b4510b0d3831f30882e2bcbf20c9c8c42ee8f4e1b95fcce,data/PlantDoc/test/Corn Gray leaf spot/IMG_42231.jpg,test,PlantDoc,data/PlantDoc/train/Corn leaf blight/IMG_42231.jpg,unknown,PlantDoc,Other
6e777d1b6829140e66573f918c0f1681ca4cd2979859c37435c84977153ec223,data/PlantDoc/test/Corn leaf blight/2015070295153021.jpg,unknown,PlantDoc,data/PlantDoc/train/Corn Gray leaf spot/2015070295153021.jpg,train,PlantDoc,Other
9120578a76fd8539da220def6e0609ebb2435decc7a9c34b949e46e86e794c8d,data/PlantDoc/test/Corn leaf blight/corn-gray-leaf-spot-f4.jpg,unknown,PlantDoc,data/PlantDoc/train/Corn Gray leaf spot/corn-gray-leaf-spot-f4.jpg,train,PlantDoc,Other
64c0f7b5701e815769bad881c0834ffb3b58018233fc3af42c3a1b7968f86973,data/PlantDoc/test/Potato leaf early blight/backus-056-potato-blight.jpg,train,PlantDoc,data/PlantDoc/train/Potato leaf late blight/backus-056-potato-blight.jpg,unknown,PlantDoc,Other
c53ad8d40c38debfbc0b79a87d0f3649c20b933a65f5b78a6931f59d06aad498,data/PlantDoc/test/Potato leaf late blight/1421_0.jpeg_itok=FMtmgePj.jpg,unknown,PlantDoc,data/PlantDoc/train/Potato leaf early blight/1421_0.jpeg_itok=FMtmgePj.jpg,train,PlantDoc,Other
a981ee59e5e1dcafd0d225f74369a05969200352c17743318c31987083ab6f4c,data/PlantDoc/test/Potato leaf late blight/5816740026_d42ef24413_Phytophthora-Infestans.jpg,unknown,PlantDoc,data/PlantDoc/train/Potato leaf early blight/5816740026_d42ef24413_Phytophthora-Infestans.jpg,train,PlantDoc,Other
9dd93b4217495fbb725cfdded86d3dc5f98955c9616fff5323be1a00df17be8b,data/PlantDoc/test/Potato leaf late blight/irish-blight-symptoms-on-potato-leaves-atmf8b.jpg,unknown,PlantDoc,data/PlantDoc/train/Potato leaf early blight/irish-blight-symptoms-on-potato-leaves-atmf8b.jpg,train,PlantDoc,Other
e23a29c94b58aac28e92f57f95eb6f53e99c874323cb2b90ebd327085721574e,data/PlantDoc/test/Tomato leaf bacterial spot/tomato_V8.jpg,train,PlantDoc,data/PlantDoc/train/Tomato Septoria leaf spot/tomato_V8.jpg,unknown,PlantDoc,Other
3c52144e19e95cc3d4170407eaf729d0981b934615eaa183f7f5aa29d8ef265a,data/PlantDoc/test/Tomato leaf yellow virus/tylcv-seminar-1-638.jpg,unknown,PlantDoc,data/PlantDoc/train/Tomato leaf yellow virus/tylcv-seminar-1-638.jpg,train,PlantDoc,Other
93c989d8551209bf34d4002ee9fae48ddbf6ab66fc3c27466c0473bcc7c0a2b7,data/PlantDoc/test/Tomato Septoria leaf spot/early-blight-septoria-ls-fig-3.jpg,unknown,PlantDoc,data/PlantDoc/train/Tomato Septoria leaf spot/early-blight-septoria-ls-fig-3.jpg,train,PlantDoc,Other
e5f14a70fc7a687a5846749d5499872c7c3320e81aea1358e481f7100b7ba242,data/PlantDoc/train/Potato leaf early blight/18028_1.jpg,train,PlantDoc,data/PlantDoc/train/Potato leaf late blight/24064_1.jpg,unknown,PlantDoc,Other
